alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Airfoil,CL/CD
14.0,1.6651,0.05045,0.04485,-0.0838,0.0103,0.9998,airfoil_0233,33.00495540138751
15.0,1.638,0.06567,0.06047,-0.0809,0.0093,0.9998,airfoil_0233,24.942896299680214
-5.0,0.3068,0.00845,0.00323,-0.2124,0.84,0.1659,airfoil_0238,36.307692307692314
-4.0,0.423,0.00802,0.00288,-0.213,0.828,0.201,airfoil_0238,52.743142144638405
-3.0,0.5399,0.00773,0.00271,-0.2137,0.8162,0.2435,airfoil_0238,69.84476067270376
-2.0,0.6554,0.00752,0.00259,-0.214,0.8012,0.2879,airfoil_0238,87.15425531914893
-1.0,0.766,0.00739,0.00254,-0.2131,0.7827,0.3304,airfoil_0238,103.65358592692829
0.0,0.8736,0.00738,0.00262,-0.2117,0.7627,0.3752,airfoil_0238,118.3739837398374
1.0,0.9678,0.0075,0.00279,-0.2073,0.7331,0.4232,airfoil_0238,129.04
2.0,1.0395,0.00811,0.00332,-0.1983,0.6749,0.4732,airfoil_0238,128.17509247842173
3.0,1.0968,0.00965,0.00459,-0.187,0.59,0.5186,airfoil_0238,113.6580310880829
4.0,1.1719,0.01107,0.00592,-0.1798,0.5365,0.5658,airfoil_0238,105.86269196025293
5.0,1.2445,0.01277,0.0075,-0.1725,0.4798,0.6148,airfoil_0238,97.45497259201252
6.0,1.3154,0.01472,0.00933,-0.1654,0.4259,0.6532,airfoil_0238,89.36141304347825
7.0,1.3841,0.01695,0.01145,-0.1584,0.3715,0.6993,airfoil_0238,81.65781710914455
8.0,1.4466,0.01895,0.01385,-0.1505,0.3199,0.9995,airfoil_0238,76.3377308707124
9.0,1.5071,0.02205,0.0167,-0.1433,0.2653,0.9995,airfoil_0238,68.34920634920636
10.0,1.5594,0.02582,0.02021,-0.1354,0.2134,0.9995,airfoil_0238,60.395042602633616
11.0,1.6096,0.02996,0.02419,-0.128,0.1729,0.9995,airfoil_0238,53.72496662216288
12.0,1.6518,0.03491,0.02899,-0.1204,0.1352,0.9995,airfoil_0238,47.31595531366371
13.0,1.6878,0.04071,0.03473,-0.1131,0.1085,0.9995,airfoil_0238,41.459100957995574
14.0,1.7218,0.04703,0.04109,-0.1066,0.0914,0.9995,airfoil_0238,36.61067403784818
15.0,1.7466,0.05457,0.04869,-0.1006,0.0765,0.9995,airfoil_0238,32.0065970313359
-5.0,-0.1761,0.01112,0.00395,-0.032,0.531,0.0885,airfoil_0242,-15.8363309352518
-4.0,-0.0719,0.0109,0.00357,-0.0291,0.4739,0.1062,airfoil_0242,-6.596330275229358
-3.0,0.0315,0.01056,0.00326,-0.0263,0.4259,0.1529,airfoil_0242,2.9829545454545454
-2.0,0.1127,0.0089,0.00277,-0.02,0.3903,0.5035,airfoil_0242,12.662921348314606
-1.0,0.2183,0.00876,0.00283,-0.0175,0.3636,0.61,airfoil_0242,24.92009132420091
0.0,0.3253,0.0088,0.00301,-0.0154,0.3429,0.689,airfoil_0242,36.965909090909086
1.0,0.4332,0.00897,0.00331,-0.0135,0.3266,0.76,airfoil_0242,48.294314381270894
2.0,0.54,0.00927,0.00372,-0.0116,0.3123,0.8211,airfoil_0242,58.25242718446602
3.0,0.6466,0.00971,0.00419,-0.0098,0.2988,0.8651,airfoil_0242,66.59114315139031
4.0,0.7522,0.01013,0.00471,-0.0079,0.2885,0.9065,airfoil_0242,74.25468904244818
5.0,0.8468,0.01078,0.00541,-0.0039,0.2773,0.9439,airfoil_0242,78.55287569573284
6.0,0.9451,0.01161,0.00622,-0.0011,0.2664,0.9732,airfoil_0242,81.40396210163652
7.0,1.076,0.01261,0.00721,-0.0058,0.2559,0.9867,airfoil_0242,85.32910388580493
8.0,1.2079,0.01384,0.00843,-0.0114,0.2449,0.995,airfoil_0242,87.27601156069365
9.0,1.2994,0.01505,0.00964,-0.0097,0.2349,0.9999,airfoil_0242,86.3388704318937
10.0,1.3438,0.01626,0.01094,0.0008,0.2272,0.9999,airfoil_0242,82.64452644526446
11.0,1.4073,0.01842,0.01312,0.006,0.2172,0.9999,airfoil_0242,76.40065146579805
12.0,1.477,0.02092,0.01572,0.009,0.2075,0.9999,airfoil_0242,70.60229445506693
13.0,1.538,0.02436,0.01925,0.0116,0.1962,0.9999,airfoil_0242,63.13628899835797
14.0,1.5868,0.02906,0.02408,0.0138,0.1858,0.9999,airfoil_0242,54.60426703372333
15.0,1.6192,0.0356,0.03078,0.0153,0.1755,0.9999,airfoil_0242,45.48314606741573
-5.0,-0.3086,0.00846,0.00292,-0.0567,0.9204,0.0748,airfoil_0241,-36.47754137115839
-4.0,-0.1984,0.00768,0.00223,-0.0555,0.8842,0.1242,airfoil_0241,-25.833333333333332
-3.0,-0.0872,0.00705,0.00174,-0.0547,0.8392,0.1985,airfoil_0241,-12.368794326241135
-2.0,0.0242,0.00658,0.00142,-0.054,0.7826,0.3021,airfoil_0241,3.6778115501519757
-1.0,0.135,0.00612,0.00124,-0.0533,0.7204,0.4542,airfoil_0241,22.058823529411768
0.0,0.2434,0.00575,0.00124,-0.0521,0.6457,0.6626,airfoil_0241,42.3304347826087
1.0,0.3503,0.00559,0.00141,-0.0502,0.5785,0.8391,airfoil_0241,62.665474060822895
2.0,0.4566,0.00586,0.00171,-0.0477,0.5174,0.9574,airfoil_0241,77.91808873720137
3.0,0.599,0.00645,0.00204,-0.0538,0.4498,0.994,airfoil_0241,92.86821705426357
4.0,0.7244,0.00708,0.00242,-0.0565,0.3803,0.9999,airfoil_0241,102.31638418079096
5.0,0.818,0.00812,0.00301,-0.0526,0.2771,0.9999,airfoil_0241,100.73891625615762
6.0,0.912,0.00952,0.00393,-0.049,0.1752,0.9999,airfoil_0241,95.7983193277311
7.0,1.0061,0.01122,0.00519,-0.0457,0.0918,0.9999,airfoil_0241,89.67023172905525
8.0,1.1013,0.01282,0.0066,-0.0426,0.0545,0.9999,airfoil_0241,85.90483619344774
9.0,1.194,0.0145,0.00825,-0.0392,0.0369,0.9999,airfoil_0241,82.34482758620689
10.0,1.28,0.01644,0.01023,-0.0348,0.0276,0.9999,airfoil_0241,77.85888077858881
11.0,1.3504,0.01882,0.01275,-0.0281,0.0221,0.9999,airfoil_0241,71.75345377258236
12.0,1.4019,0.02203,0.01616,-0.0196,0.0188,0.9999,airfoil_0241,63.63595097594189
13.0,1.4485,0.02603,0.02046,-0.0127,0.017,0.9999,airfoil_0241,55.64733000384172
14.0,1.466,0.03325,0.02798,-0.0068,0.0155,0.9999,airfoil_0241,44.09022556390977
15.0,1.4781,0.04263,0.03776,-0.0047,0.0147,0.9999,airfoil_0241,34.672765657987334
-5.0,0.1062,0.01061,0.00394,-0.1084,0.5786,0.1467,airfoil_0243,10.00942507068803
-4.0,0.2031,0.01057,0.0038,-0.1043,0.5393,0.1634,airfoil_0243,19.214758751182593
-3.0,0.2945,0.01059,0.00372,-0.0992,0.5026,0.1813,airfoil_0243,27.809254013220016
-2.0,0.379,0.01071,0.00377,-0.0929,0.466,0.2059,airfoil_0243,35.387488328664794
-1.0,0.4705,0.01108,0.00408,-0.0884,0.433,0.2374,airfoil_0243,42.46389891696751
0.0,0.5682,0.01137,0.00447,-0.0854,0.4084,0.2947,airfoil_0243,49.9736147757256
1.0,0.6643,0.01131,0.0051,-0.0829,0.3895,0.5334,airfoil_0243,58.735632183908045
2.0,0.7592,0.01196,0.00594,-0.0799,0.3738,0.6309,airfoil_0243,63.47826086956522
3.0,0.8595,0.01248,0.00679,-0.0781,0.365,0.7385,airfoil_0243,68.8701923076923
4.0,0.9433,0.01332,0.00809,-0.0732,0.3545,0.9017,airfoil_0243,70.81831831831832
5.0,1.0464,0.01427,0.00917,-0.0725,0.3472,0.9997,airfoil_0243,73.32866152768045
6.0,1.1297,0.01589,0.01069,-0.0692,0.3372,0.9997,airfoil_0243,71.09502831969792
7.0,1.2223,0.01725,0.01208,-0.0676,0.3304,0.9997,airfoil_0243,70.85797101449275
8.0,1.3006,0.01939,0.01417,-0.0646,0.3201,0.9997,airfoil_0243,67.07581227436823
9.0,1.3877,0.02126,0.01614,-0.0631,0.314,0.9997,airfoil_0243,65.2728127939793
10.0,1.4584,0.02412,0.01898,-0.0602,0.3037,0.9997,airfoil_0243,60.46434494195688
11.0,1.5364,0.02679,0.02177,-0.0587,0.295,0.9997,airfoil_0243,57.34975737215379
12.0,1.5996,0.03053,0.02557,-0.0563,0.2841,0.9997,airfoil_0243,52.394366197183096
13.0,1.6517,0.03525,0.03035,-0.0536,0.2714,0.9997,airfoil_0243,46.856737588652486
14.0,1.6936,0.041,0.03618,-0.0509,0.2583,0.9997,airfoil_0243,41.30731707317073
15.0,1.7241,0.04793,0.04322,-0.0484,0.244,0.9997,airfoil_0243,35.97120801168371
-5.0,0.013,0.00993,0.00346,-0.099,0.6336,0.126,airfoil_0244,1.309164149043303
-4.0,0.1189,0.00978,0.00321,-0.0968,0.587,0.1486,airfoil_0244,12.157464212678937
-3.0,0.2241,0.00976,0.00307,-0.0945,0.5402,0.1735,airfoil_0244,22.961065573770494
-2.0,0.3284,0.00981,0.00305,-0.0921,0.495,0.2039,airfoil_0244,33.47604485219165
-1.0,0.4313,0.00993,0.00312,-0.0896,0.4555,0.2429,airfoil_0244,43.43403826787513
0.0,0.527,0.00958,0.00325,-0.0862,0.4224,0.4346,airfoil_0244,55.01043841336117
1.0,0.6224,0.00956,0.00361,-0.0825,0.4004,0.5942,airfoil_0244,65.10460251046024
2.0,0.7188,0.00979,0.00412,-0.079,0.383,0.7153,airfoil_0244,73.42185903983656
3.0,0.8183,0.01006,0.00474,-0.0762,0.3688,0.8434,airfoil_0244,81.34194831013917
4.0,0.9131,0.01063,0.00556,-0.0721,0.3561,0.9766,airfoil_0244,85.89840075258702
5.0,1.0275,0.01159,0.0064,-0.0735,0.3439,0.9997,airfoil_0244,88.65401207937879
6.0,1.119,0.01236,0.00717,-0.0701,0.3352,0.9997,airfoil_0244,90.53398058252428
7.0,1.2069,0.01354,0.00831,-0.0667,0.3244,0.9997,airfoil_0244,89.13589364844904
8.0,1.2974,0.01476,0.00955,-0.0641,0.3146,0.9997,airfoil_0244,87.89972899728998
9.0,1.3838,0.01626,0.0111,-0.0613,0.3041,0.9997,airfoil_0244,85.10455104551045
10.0,1.4617,0.01828,0.01312,-0.0579,0.2919,0.9997,airfoil_0244,79.96170678336979
11.0,1.5366,0.02062,0.01549,-0.0547,0.2764,0.9997,airfoil_0244,74.51988360814742
12.0,1.6047,0.02355,0.01849,-0.0514,0.2606,0.9997,airfoil_0244,68.14012738853503
13.0,1.6647,0.02724,0.02225,-0.0479,0.2422,0.9997,airfoil_0244,61.11233480176212
14.0,1.7029,0.03281,0.02785,-0.0437,0.2205,0.9997,airfoil_0244,51.90185918927157
15.0,1.7251,0.04014,0.03525,-0.0398,0.1998,0.9997,airfoil_0244,42.97708021923268
-5.0,-0.3044,0.00859,0.0031,-0.0584,0.9615,0.0393,airfoil_0240,-35.43655413271245
-4.0,-0.1937,0.00768,0.00226,-0.0573,0.933,0.072,airfoil_0240,-25.221354166666668
-3.0,-0.0843,0.00695,0.00166,-0.056,0.8918,0.1389,airfoil_0240,-12.129496402877699
-2.0,0.0253,0.00625,0.00126,-0.055,0.8392,0.2737,airfoil_0240,4.048
-1.0,0.1347,0.00568,0.00104,-0.0541,0.7763,0.4592,airfoil_0240,23.714788732394364
0.0,0.2404,0.00502,0.00104,-0.0523,0.7039,0.7489,airfoil_0240,47.88844621513944
2.0,0.4952,0.00549,0.00144,-0.0574,0.5361,0.9999,airfoil_0240,90.20036429872495
3.0,0.5977,0.00605,0.0017,-0.0551,0.4595,0.9999,airfoil_0240,98.79338842975207
4.0,0.6994,0.00691,0.00214,-0.0527,0.3517,0.9999,airfoil_0240,101.21562952243126
5.0,0.7982,0.00841,0.00299,-0.0501,0.2008,0.9999,airfoil_0240,94.91082045184304
6.0,0.8952,0.01031,0.00424,-0.0475,0.0745,0.9999,airfoil_0240,86.82832201745877
7.0,0.9951,0.01187,0.00564,-0.0451,0.0363,0.9999,airfoil_0240,83.83319292333614
8.0,1.0928,0.01359,0.0074,-0.0424,0.0247,0.9999,airfoil_0240,80.4120676968359
9.0,1.1865,0.01551,0.00946,-0.0391,0.0188,0.9999,airfoil_0240,76.49903288201162
10.0,1.2708,0.01801,0.01215,-0.0346,0.0154,0.9999,airfoil_0240,70.56079955580232
11.0,1.3458,0.02076,0.01512,-0.029,0.0131,0.9999,airfoil_0240,64.82658959537572
12.0,1.3861,0.02493,0.01969,-0.019,0.0118,0.9999,airfoil_0240,55.599679101484156
13.0,1.4183,0.03017,0.02531,-0.0113,0.0108,0.9999,airfoil_0240,47.010275107722904
14.0,1.4202,0.03955,0.03512,-0.0067,0.0099,0.9999,airfoil_0240,35.908975979772435
15.0,1.3968,0.05443,0.05061,-0.0081,0.0095,0.9999,airfoil_0240,25.662318574315634
-5.0,-0.096,0.01189,0.00445,-0.0384,0.4694,0.0665,airfoil_0247,-8.074011774600505
-4.0,0.0075,0.01163,0.00401,-0.0351,0.4222,0.0732,airfoil_0247,0.6448839208942391
-3.0,0.1128,0.01141,0.0037,-0.0323,0.3872,0.0835,airfoil_0247,9.886064855390009
-2.0,0.2195,0.01134,0.00355,-0.0299,0.3595,0.0992,airfoil_0247,19.35626102292769
-1.0,0.3253,0.01118,0.0035,-0.0275,0.3409,0.1463,airfoil_0247,29.096601073345255
0.0,0.4063,0.00936,0.00331,-0.0212,0.3282,0.6424,airfoil_0247,43.40811965811966
1.0,0.509,0.00939,0.00365,-0.0182,0.3152,0.7619,airfoil_0247,54.20660276890308
2.0,0.6148,0.00965,0.00407,-0.016,0.304,0.8358,airfoil_0247,63.70984455958549
3.0,0.7194,0.01006,0.0046,-0.0136,0.2944,0.8932,airfoil_0247,71.51093439363818
4.0,0.8129,0.01079,0.00534,-0.0092,0.2827,0.9389,airfoil_0247,75.33827618164968
5.0,0.9133,0.01139,0.00599,-0.0064,0.2751,0.9688,airfoil_0247,80.18437225636522
6.0,1.0359,0.01246,0.00699,-0.0093,0.2648,0.9846,airfoil_0247,83.13804173354735
7.0,1.1735,0.0135,0.00801,-0.0156,0.2555,0.9935,airfoil_0247,86.92592592592592
8.0,1.3002,0.01469,0.00922,-0.0205,0.2466,0.9999,airfoil_0247,88.50918992511913
9.0,1.3257,0.01583,0.01036,-0.0063,0.2391,0.9999,airfoil_0247,83.74605180037904
10.0,1.3941,0.01747,0.01209,-0.0011,0.232,0.9999,airfoil_0247,79.79965655409272
11.0,1.4584,0.02008,0.01472,0.0028,0.2231,0.9999,airfoil_0247,72.62948207171314
12.0,1.5303,0.02272,0.01752,0.0049,0.2165,0.9999,airfoil_0247,67.35475352112675
13.0,1.5824,0.02692,0.02181,0.0074,0.2079,0.9999,airfoil_0247,58.78157503714711
14.0,1.6348,0.03161,0.02666,0.0087,0.1998,0.9999,airfoil_0247,51.71781081936096
15.0,1.6703,0.03807,0.03331,0.0096,0.1911,0.9999,airfoil_0247,43.87444181770422
-5.0,-0.1909,0.00854,0.00315,-0.0827,0.9246,0.0381,airfoil_0245,-22.35362997658079
-4.0,-0.0797,0.0077,0.00224,-0.0817,0.8924,0.0578,airfoil_0245,-10.35064935064935
-3.0,0.032,0.00708,0.00164,-0.0809,0.8508,0.0996,airfoil_0245,4.519774011299435
-2.0,0.1441,0.00659,0.00127,-0.0804,0.804,0.1876,airfoil_0245,21.86646433990895
-1.0,0.2553,0.00625,0.0011,-0.0798,0.7445,0.3199,airfoil_0245,40.848
0.0,0.3623,0.00539,0.00112,-0.0788,0.6767,0.6957,airfoil_0245,67.21706864564008
1.0,0.4823,0.00513,0.00131,-0.0795,0.6097,0.995,airfoil_0245,94.01559454191033
2.0,0.5942,0.00565,0.00149,-0.0792,0.5399,0.9999,airfoil_0245,105.16814159292035
3.0,0.7021,0.00621,0.0018,-0.0779,0.4801,0.9999,airfoil_0245,113.05958132045087
4.0,0.8102,0.00686,0.00223,-0.0768,0.4168,0.9999,airfoil_0245,118.10495626822158
5.0,0.9137,0.00801,0.00292,-0.0751,0.3014,0.9999,airfoil_0245,114.06991260923844
6.0,1.0067,0.01023,0.0043,-0.0719,0.1304,0.9999,airfoil_0245,98.40664711632454
7.0,1.1006,0.01226,0.00589,-0.0688,0.0474,0.9999,airfoil_0245,89.7716150081566
8.0,1.1952,0.01402,0.00761,-0.0657,0.0262,0.9999,airfoil_0245,85.24964336661913
9.0,1.2835,0.01607,0.00972,-0.0616,0.0186,0.9999,airfoil_0245,79.869321717486
10.0,1.3619,0.01848,0.01235,-0.0561,0.0154,0.9999,airfoil_0245,73.69588744588745
11.0,1.4149,0.02169,0.01584,-0.0469,0.0132,0.9999,airfoil_0245,65.23282618718304
12.0,1.4527,0.02608,0.02051,-0.0379,0.0116,0.9999,airfoil_0245,55.70168711656442
13.0,1.4715,0.03289,0.02775,-0.0301,0.0106,0.9999,airfoil_0245,44.74004256612952
14.0,1.484,0.04173,0.03702,-0.026,0.0098,0.9999,airfoil_0245,35.56194584231967
15.0,1.4808,0.05385,0.04954,-0.0256,0.0091,0.9999,airfoil_0245,27.49860724233983
-5.0,0.2086,0.00878,0.00393,-0.1848,0.8828,0.0177,airfoil_0239,23.75854214123007
-4.0,0.3252,0.00763,0.00249,-0.1856,0.864,0.0257,airfoil_0239,42.62123197903014
-3.0,0.4409,0.00697,0.00173,-0.1862,0.8441,0.0475,airfoil_0239,63.256814921090395
-2.0,0.556,0.00651,0.0013,-0.1867,0.8225,0.1024,airfoil_0239,85.40706605222735
-1.0,0.6702,0.00621,0.00119,-0.1872,0.7981,0.2078,airfoil_0239,107.92270531400966
0.0,0.7835,0.00604,0.00125,-0.1875,0.7725,0.3449,airfoil_0239,129.7185430463576
1.0,0.8958,0.00589,0.00149,-0.1876,0.744,0.5434,airfoil_0239,152.08828522920203
4.0,1.2019,0.00716,0.00286,-0.1808,0.5354,0.9998,airfoil_0239,167.8631284916201
5.0,1.2704,0.0103,0.00468,-0.1727,0.2684,0.9998,airfoil_0239,123.33980582524272
6.0,1.326,0.01419,0.00732,-0.1627,0.0375,0.9998,airfoil_0239,93.44608879492601
7.0,1.3952,0.01637,0.0095,-0.1545,0.0169,0.9998,airfoil_0239,85.22907758094075
8.0,1.4588,0.01886,0.01218,-0.1458,0.0127,0.9998,airfoil_0239,77.3488865323436
9.0,1.5037,0.02274,0.01639,-0.1349,0.0106,0.9998,airfoil_0239,66.12576956904134
10.0,1.5475,0.02699,0.02088,-0.1253,0.0089,0.9998,airfoil_0239,57.33605038903298
11.0,1.5629,0.03416,0.02852,-0.1131,0.0079,0.9998,airfoil_0239,45.752341920374704
12.0,1.5889,0.04107,0.03589,-0.1039,0.0071,0.9998,airfoil_0239,38.68760652544436
13.0,1.6069,0.04899,0.04424,-0.0964,0.0062,0.9998,airfoil_0239,32.80057154521331
14.0,1.5776,0.06338,0.05932,-0.0884,0.0056,0.9998,airfoil_0239,24.891132849479327
15.0,1.5366,0.08151,0.07823,-0.0861,0.0054,0.9998,airfoil_0239,18.851674641148325
-5.0,-0.0174,0.01049,0.00454,-0.0867,0.728,0.0354,airfoil_0248,-1.6587225929456626
-4.0,0.0921,0.00977,0.00354,-0.0851,0.6614,0.0397,airfoil_0248,9.426816786079836
-3.0,0.202,0.00944,0.00291,-0.0835,0.5877,0.0449,airfoil_0248,21.398305084745765
-2.0,0.3108,0.00938,0.00251,-0.0819,0.5,0.0537,airfoil_0248,33.13432835820896
-1.0,0.4188,0.00971,0.00246,-0.0804,0.4006,0.0684,airfoil_0248,43.1307929969104
0.0,0.5264,0.01025,0.00263,-0.079,0.3168,0.0846,airfoil_0248,51.356097560975606
1.0,0.6352,0.01063,0.00285,-0.0779,0.2745,0.1122,airfoil_0248,59.755409219190966
2.0,0.7415,0.00987,0.0032,-0.077,0.2594,0.5866,airfoil_0248,75.12664640324215
3.0,0.8636,0.00954,0.00384,-0.0785,0.2508,0.9998,airfoil_0248,90.52410901467506
4.0,0.9644,0.01016,0.00435,-0.0759,0.2437,0.9998,airfoil_0248,94.92125984251969
5.0,1.0655,0.01097,0.0051,-0.0736,0.2373,0.9998,airfoil_0248,97.1285323609845
6.0,1.1688,0.01166,0.0058,-0.0719,0.2331,0.9998,airfoil_0248,100.2401372212693
7.0,1.2681,0.01252,0.00667,-0.0696,0.2277,0.9998,airfoil_0248,101.28594249201278
8.0,1.3578,0.01373,0.00792,-0.0659,0.2214,0.9998,airfoil_0248,98.89293517844136
9.0,1.449,0.01461,0.00894,-0.0624,0.2173,0.9998,airfoil_0248,99.17864476386038
10.0,1.5353,0.0158,0.01024,-0.0587,0.2119,0.9998,airfoil_0248,97.17088607594937
11.0,1.6146,0.01745,0.01201,-0.0544,0.205,0.9998,airfoil_0248,92.5272206303725
12.0,1.6998,0.0187,0.0134,-0.0514,0.1954,0.9998,airfoil_0248,90.89839572192513
13.0,1.7778,0.02053,0.01538,-0.0481,0.183,0.9998,airfoil_0248,86.59522649780808
14.0,1.8425,0.02337,0.01835,-0.0441,0.1681,0.9998,airfoil_0248,78.84039366709457
15.0,1.8878,0.02785,0.02292,-0.0394,0.1457,0.9998,airfoil_0248,67.78456014362656
-5.0,-0.1098,0.01188,0.00464,-0.0414,0.4811,0.0474,airfoil_0249,-9.242424242424242
-4.0,-0.0032,0.01148,0.00402,-0.0388,0.4246,0.0524,airfoil_0249,-0.2787456445993031
-3.0,0.105,0.01122,0.00359,-0.0366,0.383,0.0589,airfoil_0249,9.358288770053475
-2.0,0.2151,0.0111,0.00337,-0.0349,0.3545,0.0667,airfoil_0249,19.37837837837838
-1.0,0.3263,0.01105,0.00326,-0.0335,0.3351,0.0766,airfoil_0249,29.529411764705877
0.0,0.4364,0.01108,0.00327,-0.0321,0.3189,0.095,airfoil_0249,39.38628158844766
1.0,0.5475,0.01094,0.00335,-0.031,0.3088,0.1625,airfoil_0249,50.04570383912248
2.0,0.6324,0.00918,0.00361,-0.0254,0.2984,0.8388,airfoil_0249,68.88888888888889
3.0,0.7363,0.00952,0.00412,-0.0225,0.2881,0.9312,airfoil_0249,77.3424369747899
4.0,0.8463,0.01017,0.00477,-0.0211,0.279,0.9719,airfoil_0249,83.21533923303835
5.0,0.9896,0.01112,0.00558,-0.0276,0.2669,0.9858,airfoil_0249,88.9928057553957
6.0,1.1292,0.01173,0.00619,-0.0336,0.2587,0.9934,airfoil_0249,96.26598465473145
7.0,1.2687,0.01261,0.00702,-0.04,0.2481,0.9993,airfoil_0249,100.61062648691514
8.0,1.3257,0.01323,0.00765,-0.0298,0.2397,0.9999,airfoil_0249,100.20408163265307
9.0,1.3749,0.01406,0.00854,-0.0184,0.2325,0.9999,airfoil_0249,97.78805120910384
10.0,1.4502,0.01543,0.00993,-0.0134,0.2231,0.9999,airfoil_0249,93.98574206092029
11.0,1.5306,0.01698,0.01161,-0.0102,0.2153,0.9999,airfoil_0249,90.14134275618375
12.0,1.5983,0.01945,0.01415,-0.0064,0.2063,0.9999,airfoil_0249,82.17480719794345
13.0,1.6648,0.02233,0.01717,-0.0036,0.1976,0.9999,airfoil_0249,74.55441110613525
14.0,1.7199,0.02633,0.02134,-0.0012,0.1881,0.9999,airfoil_0249,65.32092669958223
15.0,1.7565,0.03222,0.02741,0.0009,0.1787,0.9999,airfoil_0249,54.51582867783985
-5.0,-0.1027,0.01035,0.00378,-0.0603,0.6112,0.1735,airfoil_0252,-9.922705314009661
-4.0,-0.0176,0.0092,0.00318,-0.0546,0.5704,0.3365,airfoil_0252,-1.9130434782608696
-3.0,0.0839,0.00904,0.00307,-0.0514,0.5306,0.3987,airfoil_0252,9.280973451327435
-2.0,0.1874,0.00907,0.00308,-0.0486,0.4926,0.4429,airfoil_0252,20.66152149944873
-1.0,0.2901,0.00916,0.00317,-0.0458,0.4571,0.4864,airfoil_0252,31.6703056768559
0.0,0.3881,0.00937,0.00337,-0.0422,0.4182,0.539,airfoil_0252,41.41942369263607
1.0,0.4768,0.00967,0.00367,-0.0369,0.381,0.591,airfoil_0252,49.307135470527406
2.0,0.5686,0.01019,0.0042,-0.0327,0.3415,0.6496,airfoil_0252,55.79980372914623
3.0,0.6606,0.01096,0.00496,-0.0289,0.3055,0.7081,airfoil_0252,60.27372262773723
4.0,0.7511,0.01179,0.0059,-0.0251,0.2779,0.7802,airfoil_0252,63.70653095843935
5.0,0.8371,0.01277,0.00708,-0.0208,0.2594,0.8662,airfoil_0252,65.55207517619421
6.0,0.916,0.01394,0.00846,-0.0151,0.2485,0.951,airfoil_0252,65.71018651362985
7.0,1.0234,0.01575,0.01026,-0.0166,0.2384,0.9934,airfoil_0252,64.97777777777779
8.0,1.113,0.01744,0.01195,-0.0153,0.2316,0.9998,airfoil_0252,63.81880733944954
9.0,1.1743,0.0199,0.01442,-0.0099,0.224,0.9998,airfoil_0252,59.010050251256274
10.0,1.2515,0.02217,0.01677,-0.0075,0.219,0.9998,airfoil_0252,56.45015787099685
11.0,1.3142,0.02558,0.02021,-0.0045,0.2119,0.9998,airfoil_0252,51.376075058639564
12.0,1.3819,0.02899,0.02374,-0.0027,0.2058,0.9998,airfoil_0252,47.66816143497758
13.0,1.4397,0.03337,0.0282,-0.0009,0.199,0.9998,airfoil_0252,43.14354210368595
14.0,1.4931,0.03829,0.03325,0.0004,0.1926,0.9998,airfoil_0252,38.994515539305304
15.0,1.5353,0.04443,0.0395,0.0014,0.1851,0.9998,airfoil_0252,34.555480531172634
-4.0,0.4108,0.01998,0.01375,-0.0938,0.3844,0.0372,airfoil_0251,20.56056056056056
-3.0,0.5329,0.0237,0.01784,-0.0943,0.3778,0.0367,airfoil_0251,22.48523206751055
-2.0,0.6269,0.01303,0.00575,-0.09,0.3699,0.0468,airfoil_0251,48.112049117421336
-1.0,0.7384,0.0129,0.00558,-0.0885,0.3626,0.0515,airfoil_0251,57.240310077519375
0.0,0.8491,0.01279,0.00545,-0.0871,0.355,0.0567,airfoil_0251,66.38780297107115
1.0,0.9559,0.01296,0.00559,-0.0853,0.3466,0.0625,airfoil_0251,73.75771604938272
2.0,1.0634,0.01303,0.00568,-0.0838,0.3398,0.0692,airfoil_0251,81.61166538756714
3.0,1.1629,0.01349,0.0061,-0.0813,0.3313,0.0772,airfoil_0251,86.20459599703484
4.0,1.2602,0.01374,0.00645,-0.0785,0.3259,0.0876,airfoil_0251,91.71761280931587
5.0,1.3524,0.01447,0.0072,-0.0755,0.3188,0.1011,airfoil_0251,93.46233586731168
6.0,1.4455,0.01537,0.00822,-0.0732,0.3125,0.1224,airfoil_0251,94.04684450227717
7.0,1.5352,0.01643,0.00943,-0.0709,0.3063,0.1659,airfoil_0251,93.43883140596469
8.0,1.613,0.01692,0.01145,-0.0678,0.2992,0.9997,airfoil_0251,95.33096926713948
9.0,1.6942,0.01874,0.01334,-0.0658,0.2934,0.9997,airfoil_0251,90.40554962646745
10.0,1.7553,0.0219,0.0165,-0.0625,0.2855,0.9997,airfoil_0251,80.15068493150686
11.0,1.8237,0.02497,0.01975,-0.061,0.2799,0.9997,airfoil_0251,73.0356427713256
12.0,1.863,0.03033,0.02519,-0.0583,0.2718,0.9997,airfoil_0251,61.42433234421365
13.0,1.9063,0.03602,0.03111,-0.0573,0.2655,0.9997,airfoil_0251,52.92337590227651
14.0,1.9132,0.04518,0.0404,-0.0557,0.2568,0.9997,airfoil_0251,42.34617087206729
15.0,1.9158,0.05546,0.05095,-0.0554,0.249,0.9997,airfoil_0251,34.543815362423366
-5.0,-0.0985,0.03877,0.03464,-0.0516,0.4901,0.0213,airfoil_0253,-2.5406241939644056
-3.0,0.0868,0.01247,0.00547,-0.0437,0.3731,0.0252,airfoil_0253,6.960705693664796
-2.0,0.1982,0.01136,0.00405,-0.0424,0.3441,0.029,airfoil_0253,17.447183098591548
